threshold,sensitivity,specificity
0.730460666,0.019017433,0.996776084
0.736897524,0.019017433,0.997069168
0.741637148,0.017432647,0.997069168
0.742881415,0.017432647,0.997362251
0.745634177,0.017432647,0.997655334
0.757551747,0.015847861,0.997655334
0.774689039,0.015847861,0.997948417
0.786311736,0.014263074,0.997948417
0.794023529,0.012678288,0.997948417
0.798025453,0.011093502,0.998241501
0.800899057,0.011093502,0.998827667
0.806647392,0.009508716,0.998827667
0.813186307,0.00792393,0.998827667
0.816902062,0.006339144,0.998827667
0.819567974,0.004754358,0.998827667
0.822079352,0.003169572,0.998827667
0.823027014,0.003169572,0.99912075
0.826267252,0.001584786,0.99912075
0.830956376,0.001584786,0.999413834
0.840952638,0.001584786,0.999706917
0.85303322,0.001584786,1
Inf,0,1
